isin,security_name,index
IT0003132476,Eni SpA,EU_large
BE0974293251,Anheuser-Busch InBev SA/NV,EU_large
FI4000297767,Nordea Bank Abp,EU_large
NL0012969182,Adyen NV,EU_large
FR0000120578,Sanofi SA,EU_large
IT0003128367,Enel SpA,EU_large
FI0009000681,Nokia Oyj,EU_large
FR0000121972,Schneider Electric SE,EU_large
DE0008404005,Allianz SE,EU_large
NL0000235190,Airbus SE,EU_large
DE000BAY0017,Bayer AG,EU_large
DE0005190003,Bayerische Motoren Werke AG,EU_large
DE000BASF111,BASF SE,EU_large
DE0007236101,Siemens AG,EU_large
DE0007664039,Volkswagen AG,EU_large
DE0008430026,Muenchener Rueckversicherungs-,EU_large
DE0007164600,SAP SE,EU_large
FR0000120693,Pernod Ricard SA,EU_large
DE000A1EWWW0,adidas AG,EU_large
DE0005557508,Deutsche Telekom AG,EU_large
DE0005552004,Deutsche Post AG,EU_large
DE0007100000,Mercedes-Benz Group AG,EU_large
DE0006231004,Infineon Technologies AG,EU_large
DE0005810055,Deutsche Boerse AG,EU_large
NL0006294274,Euronext NV,EU_total
CH0018294154,PSP Swiss Property AG,EU_total
SE0020050417,Boliden AB,EU_total
DK0015998017,Bavarian Nordic A/S,EU_total
FR0013326246,Unibail-Rodamco-Westfield,EU_total
AT0000831706,Wienerberger AG,EU_total
LU2290522684,InPost SA,EU_total
NL0000009082,Koninklijke KPN NV,EU_total
DE0006452907,Nemetschek SE,EU_total
DK0010181759,Carlsberg AS,EU_total
SE0000202624,Getinge AB,EU_total
GB0007188757,Rio Tinto PLC,EU_total
NO0003054108,Mowi ASA,EU_total
IT0004764699,Brunello Cucinelli SpA,EU_total
BMG0112X1056,Aegon Ltd,EU_total
GB00B1XZS820,Anglo American PLC,EU_total
FR0004125920,Amundi SA,EU_total
PLPKN0000018,ORLEN SA,EU_total
ES0113211835,Banco Bilbao Vizcaya Argentari,EU_total
CH0008038389,Swiss Prime Site AG,EU_total
DE0005313704,Carl Zeiss Meditec AG,EU_total
ES0113900J37,Banco Santander SA,EU_total
FR0012757854,SPIE SA,EU_total
BE0003764785,Ackermans & van Haaren NV,EU_total
ES0130670112,Endesa SA,EU_total
NO0010631567,SpareBank 1 Sor-Norge ASA,EU_total
NL0000009538,Koninklijke Philips NV,EU_total
NO0010582521,Gjensidige Forsikring ASA,EU_total
GB0006928617,UNITE Group PLC/The,EU_total
SE0007074281,Hexpol AB,EU_total
PLPZU0000011,Powszechny Zaklad Ubezpieczen,EU_total
ES0173516115,Repsol SA,EU_total
FR0000071946,Alten SA,EU_total
ES0178430E18,Telefonica SA,EU_total
GB0031638363,Intertek Group PLC,EU_total
FR0000120271,TotalEnergies SE,EU_total
CH0008837566,Allreal Holding AG,EU_total
JE00BJ1DLW90,Man Group PLC/Jersey,EU_total
FR0000120073,Air Liquide SA,EU_total
DE0005158703,Bechtle AG,EU_total
FR0000120628,AXA SA,EU_total
FR0000131104,BNP Paribas SA,EU_total
FR0000120644,Danone SA,EU_total
FR0000125338,Capgemini SE,EU_total
SE0017161243,Fortnox AB,EU_total
FR0000120172,Carrefour SA,EU_total
FR0000125007,Cie de Saint-Gobain SA,EU_total
CH0012100191,Tecan Group AG,EU_total
FR0000121667,EssilorLuxottica SA,EU_total
GB00B0SWJX34,London Stock Exchange Group PL,EU_total
BE0974349814,Warehouses De Pauw CVA,EU_total
FR0000130452,Eiffage SA,EU_total
GB00B19NLV48,Experian PLC,EU_total
BE0974400328,Azelis Group NV,EU_total
LU1072616219,B&M European Value Retail SA,EU_total
FR0010040865,Gecina SA,EU_total
IT0005090300,Infrastrutture Wireless Italia,EU_total
PLLPP0000011,LPP SA,EU_total
FR0000121964,Klepierre SA,EU_total
FR0000121204,Wendel SE,EU_total
FR0000044448,Nexans SA,EU_total
FR0010411983,SCOR SE,EU_total
PLOPTTC00011,CD Projekt SA,EU_total
FR0000121121,Eurazeo SE,EU_total
FR0000073272,Safran SA,EU_total
FR0000121329,Thales SA,EU_total
GB00BP6MXD84,Shell PLC,EU_total
FR0013506730,Vallourec SACA,EU_total
IE0004906560,Kerry Group PLC,EU_total
DE0005470306,CTS Eventim AG & Co KGaA,EU_total
NL0011794037,Koninklijke Ahold Delhaize NV,EU_total
GB00B17BBQ50,Investec PLC,EU_total
IT0005239360,UniCredit SpA,EU_total
IT0001031084,Banca Generali SpA,EU_total
IT0000062957,Mediobanca Banca di Credito Fi,EU_total
DE000SYM9999,Symrise AG,EU_total
FI4000552526,Mandatum Oyj,EU_total
GB00BVYVFW23,Auto Trader Group PLC,EU_total
IT0000062072,Generali,EU_total
CH0010675863,Swissquote Group Holding SA,EU_total
BE0003717312,Sofina SA,EU_total
IT0001078911,Interpump Group SpA,EU_total
DE000A0D9PT0,MTU Aero Engines AG,EU_total
BE0003565737,KBC Group NV,EU_total
NO0010208051,Yara International ASA,EU_total
